dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1950-01-01,27.18,0.593,Surabaya,Indonesia,7.23S,112.70E
1950-02-01,26.831,0.253,Surabaya,Indonesia,7.23S,112.70E
1950-03-01,27.147,0.51,Surabaya,Indonesia,7.23S,112.70E
1950-04-01,27.073,0.622,Surabaya,Indonesia,7.23S,112.70E
1950-05-01,26.804,0.31,Surabaya,Indonesia,7.23S,112.70E
1950-06-01,26.554,0.9,Surabaya,Indonesia,7.23S,112.70E
1950-07-01,25.206,1.151,Surabaya,Indonesia,7.23S,112.70E
1950-08-01,25.786,0.999,Surabaya,Indonesia,7.23S,112.70E
1950-09-01,26.086,1.794,Surabaya,Indonesia,7.23S,112.70E
1950-10-01,27.576,0.281,Surabaya,Indonesia,7.23S,112.70E
1950-11-01,27.517,0.627,Surabaya,Indonesia,7.23S,112.70E
1950-12-01,27.186,0.987,Surabaya,Indonesia,7.23S,112.70E
1951-01-01,26.575,0.638,Surabaya,Indonesia,7.23S,112.70E
1951-02-01,26.651999999999997,0.461,Surabaya,Indonesia,7.23S,112.70E
1951-03-01,27.245,0.913,Surabaya,Indonesia,7.23S,112.70E
1951-04-01,26.899,1.4409999999999998,Surabaya,Indonesia,7.23S,112.70E
1951-05-01,26.974,1.7280000000000002,Surabaya,Indonesia,7.23S,112.70E
1951-06-01,26.846,0.546,Surabaya,Indonesia,7.23S,112.70E
1951-07-01,25.997,1.123,Surabaya,Indonesia,7.23S,112.70E
1951-08-01,26.138,2.087,Surabaya,Indonesia,7.23S,112.70E
1951-09-01,27.128,2.094,Surabaya,Indonesia,7.23S,112.70E
1951-10-01,27.786,0.878,Surabaya,Indonesia,7.23S,112.70E
1951-11-01,29.395,1.426,Surabaya,Indonesia,7.23S,112.70E
1951-12-01,27.28,0.701,Surabaya,Indonesia,7.23S,112.70E
1952-01-01,27.466,0.414,Surabaya,Indonesia,7.23S,112.70E
1952-02-01,27.399,0.34700000000000003,Surabaya,Indonesia,7.23S,112.70E
1952-03-01,26.404,0.537,Surabaya,Indonesia,7.23S,112.70E
1952-04-01,27.096,1.038,Surabaya,Indonesia,7.23S,112.70E
1952-05-01,26.837000000000003,0.7979999999999999,Surabaya,Indonesia,7.23S,112.70E
1952-06-01,26.401999999999997,0.6609999999999999,Surabaya,Indonesia,7.23S,112.70E
1952-07-01,26.085,0.7929999999999999,Surabaya,Indonesia,7.23S,112.70E
1952-08-01,26.121,0.612,Surabaya,Indonesia,7.23S,112.70E
1952-09-01,27.521,0.284,Surabaya,Indonesia,7.23S,112.70E
1952-10-01,27.853,0.959,Surabaya,Indonesia,7.23S,112.70E
1952-11-01,27.53,1.232,Surabaya,Indonesia,7.23S,112.70E
1952-12-01,26.818,1.551,Surabaya,Indonesia,7.23S,112.70E
1953-01-01,27.081,0.6809999999999999,Surabaya,Indonesia,7.23S,112.70E
1953-02-01,27.022,0.233,Surabaya,Indonesia,7.23S,112.70E
1953-03-01,27.487,0.236,Surabaya,Indonesia,7.23S,112.70E
1953-04-01,27.264,0.284,Surabaya,Indonesia,7.23S,112.70E
1953-05-01,26.818,0.24,Surabaya,Indonesia,7.23S,112.70E
1953-06-01,26.579,0.8690000000000001,Surabaya,Indonesia,7.23S,112.70E
1953-07-01,25.752,1.499,Surabaya,Indonesia,7.23S,112.70E
1953-08-01,25.98,1.126,Surabaya,Indonesia,7.23S,112.70E
1953-09-01,27.053,1.119,Surabaya,Indonesia,7.23S,112.70E
1953-10-01,28.468000000000004,0.392,Surabaya,Indonesia,7.23S,112.70E
1953-11-01,28.357,0.78,Surabaya,Indonesia,7.23S,112.70E
1953-12-01,28.616999999999997,1.654,Surabaya,Indonesia,7.23S,112.70E
1954-01-01,27.61,0.5479999999999999,Surabaya,Indonesia,7.23S,112.70E
1954-02-01,27.006999999999998,0.403,Surabaya,Indonesia,7.23S,112.70E
1954-03-01,27.401,0.967,Surabaya,Indonesia,7.23S,112.70E
1954-04-01,27.405,0.415,Surabaya,Indonesia,7.23S,112.70E
1954-05-01,27.076,0.984,Surabaya,Indonesia,7.23S,112.70E
1954-06-01,26.908,1.825,Surabaya,Indonesia,7.23S,112.70E
1954-07-01,26.169,0.665,Surabaya,Indonesia,7.23S,112.70E
1954-08-01,26.023000000000003,0.762,Surabaya,Indonesia,7.23S,112.70E
1954-09-01,27.077,1.057,Surabaya,Indonesia,7.23S,112.70E
1954-10-01,27.518,0.7020000000000001,Surabaya,Indonesia,7.23S,112.70E
1954-11-01,27.255,1.606,Surabaya,Indonesia,7.23S,112.70E
1954-12-01,27.77,1.396,Surabaya,Indonesia,7.23S,112.70E
1955-01-01,27.139,0.374,Surabaya,Indonesia,7.23S,112.70E
1955-02-01,26.815,0.461,Surabaya,Indonesia,7.23S,112.70E
1955-03-01,26.790000000000006,0.847,Surabaya,Indonesia,7.23S,112.70E
1955-04-01,26.872,0.787,Surabaya,Indonesia,7.23S,112.70E
1955-05-01,26.912000000000006,0.523,Surabaya,Indonesia,7.23S,112.70E
1955-06-01,26.636000000000006,0.581,Surabaya,Indonesia,7.23S,112.70E
1955-07-01,25.83,1.035,Surabaya,Indonesia,7.23S,112.70E
1955-08-01,26.428,0.343,Surabaya,Indonesia,7.23S,112.70E
1955-09-01,27.439,0.518,Surabaya,Indonesia,7.23S,112.70E
1955-10-01,27.543000000000003,0.545,Surabaya,Indonesia,7.23S,112.70E
1955-11-01,27.328000000000003,0.623,Surabaya,Indonesia,7.23S,112.70E
1955-12-01,26.952,0.91,Surabaya,Indonesia,7.23S,112.70E
1956-01-01,26.724,0.632,Surabaya,Indonesia,7.23S,112.70E
1956-02-01,26.934,0.259,Surabaya,Indonesia,7.23S,112.70E
1956-03-01,27.044,0.256,Surabaya,Indonesia,7.23S,112.70E
1956-04-01,27.16,0.299,Surabaya,Indonesia,7.23S,112.70E
1956-05-01,27.313,0.882,Surabaya,Indonesia,7.23S,112.70E
